3000.0000 0 1960  We are currently receiving
4000.0000 2040 2960  conflicting
6000.0000 2960 4420  signals from
7000.0000 4420 5760  Minsk and this is
8000.0000 5760 7100  already some
9000.0000 7080 7500  kind of
10000.0000 7520 9160  progress in relation to before.
12000.0000 9660 11060  But the recent
13000.0000 11080 12280  parliamentary election
14000.0000 12260 13120  reinforced
15000.0000 13120 13780  the popular
16000.0000 13780 14980  Western image
17000.0000 14980 15520  of
18000.0000 15520 17120  Belarus as a
18570.0000 17120 18280  kind of banana republic.
